"microbe","Taxonomy","domain","kingdom","phylum","class","order","family","genus","species"
"Cupriavidus.pinatubonensis","d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus pinatubonensis","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Cupriavidus","s__Cupriavidus pinatubonensis"
"Cupriavidus.sp..USMAA2.4","d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus sp. USMAA2-4","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Cupriavidus","s__Cupriavidus sp. USMAA2-4"
"Cupriavidus.sp..USMAHM13","d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus sp. USMAHM13","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Cupriavidus","s__Cupriavidus sp. USMAHM13"
"Cupriavidus.taiwanensis","d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus taiwanensis","d__Bacteria","k__unclassified-p__Proteobacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Burkholderiaceae","g__Cupriavidus","s__Cupriavidus taiwanensis"
"Cutibacterium.acnes","d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium acnes","d__Bacteria","k__unclassified-p__Actinobacteria","p__Actinobacteria","c__Actinobacteria","o__Propionibacteriales","f__Propionibacteriaceae","g__Cutibacterium","s__Cutibacterium acnes"
"Cutibacterium.avidum","d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium avidum","d__Bacteria","k__unclassified-p__Actinobacteria","p__Actinobacteria","c__Actinobacteria","o__Propionibacteriales","f__Propionibacteriaceae","g__Cutibacterium","s__Cutibacterium avidum"
"Cutibacterium.granulosum","d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium granulosum","d__Bacteria","k__unclassified-p__Actinobacteria","p__Actinobacteria","c__Actinobacteria","o__Propionibacteriales","f__Propionibacteriaceae","g__Cutibacterium","s__Cutibacterium granulosum"
"Cyanidioschyzon.merolae","d__Eukaryota|p__Rhodophyta|c__Bangiophyceae|o__Cyanidiales|f__Cyanidiaceae|g__Cyanidioschyzon|s__Cyanidioschyzon merolae","d__Eukaryota","k__unclassified-p__Rhodophyta","p__Rhodophyta","c__Bangiophyceae","o__Cyanidiales","f__Cyanidiaceae","g__Cyanidioschyzon","s__Cyanidioschyzon merolae"
"Cyanobacterium.aponinum","d__Bacteria|p__Cyanobacteria|o__Chroococcales|f__Cyanobacteriaceae|g__Cyanobacterium|s__Cyanobacterium aponinum","d__Bacteria","k__unclassified-p__Cyanobacteria","p__Cyanobacteria","c__unclassified-o__Chroococcales","o__Chroococcales","f__Cyanobacteriaceae","g__Cyanobacterium","s__Cyanobacterium aponinum"
"cyanobacterium.endosymbiont.of.Epithemia.turgida","d__Bacteria|p__Cyanobacteria|s__cyanobacterium endosymbiont of Epithemia turgida","d__Bacteria","k__unclassified-p__Cyanobacteria","p__Cyanobacteria","c__unclassified-s__cyanobacterium endosymbiont of Epithemia turgida","o__unclassified-s__cyanobacterium endosymbiont of Epithemia turgida","f__unclassified-s__cyanobacterium endosymbiont of Epithemia turgida","g__unclassified-s__cyanobacterium endosymbiont of Epithemia turgida","s__cyanobacterium endosymbiont of Epithemia turgida"
