"Gene","n","rank"
"DYDC1",5,811
"FLVCR1-AS1",5,812
"GALM",5,813
"GNG11",5,814
"LINC00327",5,815
"LOC100272216",5,816
"LOH12CR2",5,817
"MIR499A",5,818
"NCRNA00185",5,819
"NME1",5,820
"PCTP",5,821
"POLR3G",5,822
"RPS24",5,823
"SF3B5",5,824
"ZMAT5",5,825
"ZNF593",5,826
"ACTB",4,827
"AIPL1",4,828
"ALKBH7",4,829
"ARHGAP5-AS1",4,830
"CCDC51",4,831
"DUX4L3",4,832
"LINC00256B",4,833
"LOC100288198",4,834
"LOC100506012",4,835
"MIR454",4,836
"MUTED",4,837
"NBPF7",4,838
"OR1L3",4,839
"PDLIM2",4,840
"PEX11G",4,841
"SCARNA4",4,842
"SLC26A11",4,843
"SLC35G6",4,844
"SNORA42",4,845
"TAS2R19",4,846
"TAS2R30",4,847
"TPI1P3",4,848
"ZNF415",4,849
"ZNF773",4,850
"ABHD4",3,851
"BCL2L11",3,852
"C10orf35",3,853
"C18orf32",3,854
"C6orf226",3,855
"C9orf131",3,856
"EXOSC5",3,857
"FAM106CP",3,858
"FAM98C",3,859
"GCAT",3,860
"H3F3A",3,861
"IMMP1L",3,862
"LINC00310",3,863
"LOC100288428",3,864
"LOC100506804",3,865
"LOC646903",3,866
"LOC728558",3,867
"LOC729737",3,868
"LOC84856",3,869
"MRPS26",3,870
"NR1I2",3,871
"OR13D1",3,872
"PGAM4",3,873
"POM121L1P",3,874
"POU5F1P4",3,875
"PRSS48",3,876
"RNASEH2A",3,877
"RNF222",3,878
"SLC16A6",3,879
"SLC39A14",3,880
"SPDYE1",3,881
"SPDYE5",3,882
"TAS2R39",3,883
"THAP11",3,884
"TIMM17B",3,885
"TMED1",3,886
"TMEM191A",3,887
"TSSK4",3,888
"ZDHHC1",3,889
"ZNF837",3,890
"ABHD14A",2,891
"ACAT2",2,892
"AGAP4",2,893
"ANKRD36B",2,894
"ANKRD54",2,895
"BHLHE41",2,896
"C17orf69",2,897
"C1orf50",2,898
"C20orf27",2,899
"C21orf2",2,900
"C9orf123",2,901
"CATSPER2",2,902
"CATSPER2P1",2,903
"CHCHD8",2,904
"DDX17",2,905
"DEFB109P1B",2,906
"DHRS4L2",2,907
"DNHD1",2,908
"DOHH",2,909
"DUX4L5",2,910
"EBLN2",2,911
"EID2",2,912
"EMID1",2,913
"FAM186A",2,914
"FAM195A",2,915
"FAM22F",2,916
"FLJ45340",2,917
"GCNT7",2,918
"GJA9-MYCBP",2,919
"GOLGA8A",2,920
"GPR22",2,921
"HNRNPH2",2,922
"HNRNPU-AS1",2,923
"IGFN1",2,924
"ISOC2",2,925
"KCTD14",2,926
"LINC00256A",2,927
"LOC100128288",2,928
"LOC100130451",2,929
"LOC100130880",2,930
